FORWARD_TEXT_FORMAT_1.0
STDEP =   208.0410
ENDEP =  2542.0400
RLEV  =     0.1250
CURVENAME =  AC, CAL, GR, R4_0, RILD, RILM, RLL8, RT
END
#DEPTH            AC        CAL         GR       R4_0       RILD       RILM       RLL8         RT
 226.4160     244.790     22.671     54.533     -0.511     51.459   2000.000      0.415  -9999.000
 226.5410     260.326     22.675     54.596     -0.510     51.654   2000.000      0.415  -9999.000
 226.6660     273.146     22.680     57.478     -0.509     51.431   2000.000      0.415  -9999.000
 226.7910     286.275     22.698     58.377     -0.510     51.314   2000.000      0.415  -9999.000
 226.9160     298.954     22.711     57.797     -0.511     51.086   2000.000      0.416  -9999.000
 227.0410     307.243     22.726     56.975     -0.513     50.590   2000.000      0.416  -9999.000
 227.1660     310.946     22.716     56.361     -0.514     50.281   2000.000      0.416  -9999.000
 227.2910     315.173     22.693     56.105     -0.514     50.313   2000.000      0.416  -9999.000
 227.4160     320.715     22.663     55.935     -0.514     50.351   2000.000      0.415  -9999.000
 227.5410     322.892     22.625     57.749     -0.514     50.304   2000.000      0.416  -9999.000
 227.6660     315.110     22.583     63.270     -0.514     50.343   2000.000      0.416  -9999.000
 227.7910     305.194     22.554     67.931     -0.514     50.376   2000.000      0.417  -9999.000
 227.9160     305.367     22.564     67.225     -0.514     50.362   2000.000      0.417  -9999.000
 228.0410     316.545     22.577     62.100     -0.514     50.132   2000.000      0.417  -9999.000
 228.1660     322.066     22.580     56.448     -0.514     49.743   2000.000      0.417  -9999.000
 228.2910     317.179     22.574     52.856     -0.514     49.227   2000.000      0.416  -9999.000
 228.4160     316.553     22.568     52.831     -0.514     48.711   2000.000      0.415  -9999.000
 228.5410     331.761     22.572     55.196     -0.514     48.264   2000.000      0.415  -9999.000
 228.6660     354.021     22.569     55.940     -0.514     47.914   2000.000      0.415  -9999.000
 228.7910     367.466     22.560     56.511     -0.514     47.727   2000.000      0.415  -9999.000
 228.9160     372.254     22.552     60.330     -0.514     48.059   2000.000      0.415  -9999.000
 229.0410     375.430     22.554     64.808     -0.514     48.888   2000.000      0.415  -9999.000
 229.1660     380.643     22.563     68.250     -0.514     49.969   2000.000      0.415  -9999.000
 229.2910     386.142     22.580     67.612     -0.514     51.064   2000.000      0.415  -9999.000
 229.4160     391.312     22.579     61.737     -0.514     52.257   2000.000      0.416  -9999.000
 229.5410     396.356     22.566     55.969     -0.514     53.682   2000.000      0.416  -9999.000
 229.6660     396.180     22.553     54.282     -0.514     55.094   2000.000      0.416  -9999.000
 229.7910     383.348     22.550     52.662     -0.514     56.065   2000.000      0.416  -9999.000
 229.9160     357.616     22.557     52.580     -0.514     56.288   2000.000      0.415  -9999.000
 230.0410     329.688     22.560     56.878     -0.514     56.226   2000.000      0.415  -9999.000
 230.1660     311.401     22.558     61.336     -0.514     56.140   2000.000      0.415  -9999.000
 230.2910     297.999     22.552     63.289     -0.514     55.981   2000.000      0.415  -9999.000
 230.4160     286.760     22.548     64.169     -0.514     55.864   2000.000      0.415  -9999.000
 230.5410     284.610     22.552     63.763     -0.514     56.198   2000.000      0.415  -9999.000
 230.6660     295.605     22.548     62.554     -0.514     56.097   2000.000      0.415  -9999.000
 230.7910     302.880     22.546     60.853     -0.514     55.720   2000.000      0.415  -9999.000
